gender,international,gpa,major,race,gmat,Work_exp,Work_industry,Age,Recomendation letter,Personal interview Score,Income,Marital status,Admission
Female,FALSE,3.35,Humanities,White,710,6,Consulting,32,Excellent,1,"$215,343.00 ",married,Admit
Male,FALSE,3.15,STEM,Hispanic,620,4,PE/VC,34,Excellent,5,"$132,402.00 ",married,Deny
Male,FALSE,3.21,Business,Hispanic,640,6,Nonprofit/Gov,27,Good,3,"$89,855.00 ",Unmarried,Deny
Male,FALSE,3.1,Business,Hispanic,670,7,Financial Services,36,Good,5,"$148,973.00 ",Unmarried,Deny
Male,FALSE,3.48,Business,White,710,5,Consulting,34,Good,1,"$198,502.00 ",married,Admit
Male,FALSE,3.15,Humanities,Asian,650,6,Consulting,36,Excellent,5,"$180,799.00 ",married,Deny
Male,FALSE,3.09,Business,Other,610,6,Consulting,36,Excellent,3,"$116,829.00 ",Unmarried,Deny
Female,FALSE,3.14,Humanities,Hispanic,660,6,Consulting,34,Good,5,"$137,213.00 ",Unmarried,Deny
Male,FALSE,2.97,STEM,Asian,580,4,Consulting,32,Good,4,"$191,660.00 ",married,Deny
Male,FALSE,3.17,STEM,White,670,5,PE/VC,35,Excellent,4,"$750,742.00 ",married,Deny
Female,FALSE,3.23,Humanities,White,620,7,Nonprofit/Gov,33,Excellent,5,"$54,292.00 ",Unmarried,Admit
Female,FALSE,3.05,Humanities,White,600,5,Other,37,Good,4,"$62,168.00 ",married,Admit
Male,FALSE,3.32,Business,Black,670,4,Consulting,34,Good,4,"$170,256.00 ",Unmarried,Admit
Male,FALSE,3.08,Humanities,Asian,640,5,Technology,37,Good,1,"$129,081.00 ",married,Deny
Male,TRUE,3.36,STEM,International,690,5,CPG,35,Good,4,"$107,213.00 ",married,Deny
Male,FALSE,3.1,Humanities,White,610,5,Health Care,36,Good,5,"$96,662.00 ",married,Deny
Female,FALSE,3.38,Humanities,White,660,5,Consulting,28,Good,3,"$163,538.00 ",married,Admit
Male,FALSE,3.26,Humanities,Hispanic,650,6,Real Estate,27,Excellent,4,"$148,152.00 ",married,Deny
Male,FALSE,3.2,Humanities,Hispanic,600,4,Investment Banking,33,Excellent,5,"$176,029.00 ",married,Deny
Male,FALSE,3.65,Humanities,Black,700,6,Health Care,34,Good,1,"$108,454.00 ",married,Deny
Female,TRUE,3.34,Business,International,650,5,Financial Services,27,Good,3,"$98,008.00 ",married,Admit
Female,FALSE,3.3,Humanities,Hispanic,670,4,Nonprofit/Gov,35,Excellent,5,"$61,415.00 ",married,Admit
Male,FALSE,3.11,Business,Asian,610,6,PE/VC,28,Excellent,5,"$403,367.00 ",married,Deny
Male,TRUE,3.08,Humanities,International,740,4,Health Care,30,Good,3,"$96,491.00 ",married,Deny
Male,FALSE,3.2,STEM,White,590,5,Consulting,26,Excellent,5,"$207,050.00 ",married,Deny
Male,TRUE,3.3,STEM,International,590,5,Other,26,Good,4,"$52,379.00 ",married,Deny
Male,FALSE,3.21,Humanities,Black,610,4,PE/VC,36,Good,1,"$844,944.00 ",Unmarried,Deny
Female,FALSE,3.26,Humanities,Black,670,6,Consulting,31,Excellent,3,"$165,504.00 ",married,Deny
Female,FALSE,3.29,STEM,Hispanic,640,6,Investment Banking,33,Good,3,"$177,631.00 ",Unmarried,Deny
Female,FALSE,3.25,Humanities,Hispanic,640,5,Other,28,Good,5,"$75,215.00 ",Unmarried,Deny
Female,FALSE,3.2,Humanities,Asian,680,7,Consulting,35,Excellent,5,"$198,182.00 ",married,Admit
Female,FALSE,3.23,STEM,Asian,610,5,Nonprofit/Gov,31,Good,3,"$83,711.00 ",Unmarried,Admit
Male,FALSE,3.32,Humanities,Hispanic,670,4,Media/Entertainment,35,Excellent,2,"$51,958.00 ",married,Deny
Female,FALSE,3.46,STEM,White,660,5,Consulting,33,Good,1,"$118,771.00 ",Unmarried,Admit
Female,FALSE,3.29,Humanities,Black,610,4,Consulting,27,Excellent,5,"$121,676.00 ",Unmarried,Deny
Male,FALSE,3.33,Humanities,White,680,4,Financial Services,25,Good,4,"$132,079.00 ",married,Admit
Female,TRUE,2.99,Humanities,International,570,6,Real Estate,36,Good,3,"$188,578.00 ",married,Admit
Male,FALSE,3.22,Business,Black,610,5,Technology,36,Excellent,5,"$141,842.00 ",Unmarried,Deny
Female,TRUE,3.29,Business,International,710,4,Consulting,31,Good,4,"$194,107.00 ",Unmarried,Admit
Male,TRUE,3.26,Humanities,International,650,4,PE/VC,28,Good,4,"$392,085.00 ",married,Deny
Male,FALSE,3.25,Humanities,Asian,620,6,Technology,34,Good,1,"$123,074.00 ",Unmarried,Deny
Male,TRUE,3.32,STEM,International,630,6,Technology,36,Excellent,5,"$129,440.00 ",married,Deny
Male,FALSE,3.44,Business,White,740,6,PE/VC,37,Good,4,"$304,416.00 ",married,Deny
Male,TRUE,3.4,Humanities,International,730,5,Nonprofit/Gov,33,Good,2,"$63,814.00 ",Unmarried,Deny
Female,FALSE,3.51,Humanities,Black,700,7,Nonprofit/Gov,34,Good,5,"$82,849.00 ",Unmarried,Deny
Female,FALSE,3.43,Humanities,Black,710,7,Other,36,Excellent,5,"$62,233.00 ",married,Deny
Female,FALSE,3.27,Business,White,660,6,Other,30,Excellent,3,"$46,249.00 ",married,Admit
Male,FALSE,3.34,Humanities,White,700,4,Consulting,28,Excellent,5,"$150,892.00 ",Unmarried,Admit
Male,FALSE,3.07,Humanities,Other,640,6,Other,31,Excellent,5,"$53,151.00 ",married,Deny
Male,TRUE,3.36,Humanities,International,670,2,PE/VC,26,Excellent,4,"$542,666.00 ",married,Deny
Male,FALSE,3.21,Humanities,White,690,7,Real Estate,32,Excellent,5,"$173,119.00 ",married,Deny
Female,FALSE,3.28,Humanities,White,610,6,Consulting,33,Excellent,4,"$131,617.00 ",married,Admit
Female,FALSE,3.06,Business,Black,650,5,Consulting,32,Good,4,"$157,082.00 ",married,Deny
Male,FALSE,3.32,Business,White,670,4,Financial Services,27,Excellent,5,"$129,459.00 ",married,Deny
Male,TRUE,3.33,Humanities,International,670,5,Consulting,29,Good,2,"$96,480.00 ",Unmarried,Deny
Female,FALSE,3.31,STEM,Asian,600,5,Investment Banking,28,Good,5,"$159,648.00 ",Unmarried,Admit
Male,FALSE,3.16,STEM,Hispanic,570,5,Technology,27,Excellent,1,"$148,525.00 ",married,Deny
Male,FALSE,3.2,STEM,Asian,600,6,Consulting,28,Good,3,"$114,344.00 ",married,Deny
Male,TRUE,3.17,STEM,International,600,4,Investment Banking,34,Good,3,"$152,164.00 ",married,Deny
Female,TRUE,3.48,STEM,International,780,5,PE/VC,36,Excellent,1,"$792,334.00 ",Unmarried,Admit
Male,FALSE,3.1,STEM,Asian,570,5,Nonprofit/Gov,34,Good,5,"$72,341.00 ",married,Deny
Male,FALSE,2.95,Business,Asian,590,5,Investment Management,34,Good,3,"$174,016.00 ",married,Deny
Male,FALSE,3.32,Humanities,White,570,6,Technology,33,Good,4,"$124,351.00 ",married,Deny
Male,FALSE,3.24,Humanities,Black,660,7,Investment Management,33,Excellent,5,"$136,753.00 ",married,Deny
Female,FALSE,3.21,STEM,Black,580,6,Financial Services,28,Excellent,4,"$111,597.00 ",married,Deny
Male,FALSE,3.32,Humanities,Asian,660,4,Investment Banking,29,Good,3,"$192,112.00 ",Unmarried,Deny
Male,FALSE,3.2,Humanities,Hispanic,630,6,Technology,35,Good,5,"$125,874.00 ",married,Deny
Male,FALSE,3.37,Business,Asian,710,5,Technology,31,Excellent,3,"$141,940.00 ",married,Admit
Male,FALSE,3.14,Humanities,Asian,620,5,Technology,33,Excellent,3,"$129,974.00 ",Unmarried,Deny
Female,TRUE,3.32,Humanities,International,650,5,Real Estate,27,Excellent,3,"$188,178.00 ",Unmarried,Admit
Female,TRUE,3.13,Business,International,580,4,Consulting,35,Excellent,5,"$217,494.00 ",married,Admit
Female,FALSE,3.55,Humanities,Asian,680,6,PE/VC,36,Regular,5,"$839,856.00 ",married,Admit
Male,FALSE,3.22,STEM,White,620,5,PE/VC,35,Regular,5,"$787,773.00 ",Unmarried,Deny
Male,TRUE,3.42,STEM,International,630,6,Financial Services,29,Excellent,1,"$118,603.00 ",married,Deny
Female,FALSE,3.18,STEM,Asian,650,6,Nonprofit/Gov,30,Excellent,2,"$58,270.00 ",married,Admit
Male,TRUE,3.14,STEM,International,620,6,Nonprofit/Gov,34,Excellent,3,"$56,520.00 ",married,Deny
Male,TRUE,3.24,Humanities,International,680,7,PE/VC,32,Excellent,5,"$633,112.00 ",married,Deny
Male,FALSE,3.3,Business,White,630,3,PE/VC,37,Excellent,4,"$389,626.00 ",married,Deny
Female,FALSE,3.2,STEM,White,610,4,Consulting,37,Good,3,"$149,711.00 ",Unmarried,Admit
Male,FALSE,3.41,Humanities,Black,710,4,PE/VC,30,Excellent,2,"$986,069.00 ",married,Deny
Male,TRUE,3.03,STEM,International,570,5,Consulting,37,Good,5,"$78,975.00 ",Unmarried,Deny
Male,FALSE,3.3,Humanities,Asian,640,9,Consulting,35,Excellent,3,"$206,725.00 ",married,Deny
Female,FALSE,3.17,STEM,White,600,4,Nonprofit/Gov,32,Excellent,2,"$51,259.00 ",married,Admit
Female,FALSE,3.43,Business,White,680,3,Consulting,32,Excellent,5,"$105,459.00 ",married,Admit
Male,FALSE,3.36,STEM,Black,700,5,PE/VC,36,Excellent,4,"$603,306.00 ",married,Admit
Female,TRUE,3.15,STEM,International,650,5,Investment Banking,28,Good,2,"$161,929.00 ",Unmarried,Admit
Female,FALSE,3.23,Business,Black,680,6,Health Care,30,Good,5,"$100,779.00 ",married,Admit
Female,FALSE,3.36,Humanities,Asian,710,4,CPG,25,Good,3,"$73,800.00 ",married,Admit
Male,FALSE,3,STEM,Asian,570,6,Financial Services,33,Good,3,"$117,661.00 ",married,Deny
Male,FALSE,3.25,Humanities,Asian,640,7,PE/VC,33,Excellent,3,"$975,684.00 ",married,Deny
Male,FALSE,3.15,Humanities,Hispanic,620,3,PE/VC,27,Excellent,4,"$913,222.00 ",Unmarried,Deny
Female,TRUE,3.17,STEM,International,630,6,Nonprofit/Gov,28,Good,4,"$59,015.00 ",married,Admit
Male,FALSE,2.97,STEM,Asian,610,6,Technology,34,Excellent,5,"$144,978.00 ",married,Deny
Female,FALSE,3.25,Humanities,White,670,5,Consulting,37,Good,3,"$74,116.00 ",married,Admit
Male,FALSE,3.33,Humanities,Other,640,3,Other,24,Regular,3,"$58,241.00 ",married,Deny
Male,FALSE,3.43,Business,Asian,680,3,Consulting,37,Good,3,"$102,744.00 ",married,Deny
Male,TRUE,3.17,Humanities,International,670,4,Technology,27,Good,5,"$149,299.00 ",married,Deny
Male,TRUE,3.4,Business,International,750,4,Nonprofit/Gov,35,Excellent,5,"$71,212.00 ",Unmarried,Deny
Male,FALSE,3.24,STEM,Black,600,5,Investment Management,31,Good,5,"$162,690.00 ",Unmarried,Deny
Male,FALSE,3.34,Humanities,White,700,5,Consulting,36,Good,2,"$199,323.00 ",married,Admit
Male,TRUE,3.29,Humanities,International,660,6,Energy,27,Excellent,3,"$81,888.00 ",Unmarried,Deny
Male,TRUE,3.04,Business,International,660,6,Nonprofit/Gov,31,Good,5,"$79,790.00 ",married,Deny
Male,TRUE,3.4,Humanities,International,690,6,Other,34,Good,3,"$64,411.00 ",married,Admit
Male,TRUE,3.01,Humanities,International,670,6,Technology,35,Excellent,4,"$144,260.00 ",Unmarried,Deny
Male,FALSE,3.54,STEM,Hispanic,700,5,Other,36,Excellent,4,"$64,337.00 ",married,Deny
Male,FALSE,3.23,STEM,White,710,6,PE/VC,28,Excellent,3,"$928,015.00 ",married,Deny
Male,TRUE,3.15,Humanities,International,650,6,Consulting,28,Good,4,"$153,934.00 ",Unmarried,Deny
Female,FALSE,3.32,Humanities,White,730,5,Nonprofit/Gov,27,Good,4,"$63,413.00 ",married,Admit
Male,FALSE,3.47,Business,Asian,690,7,Investment Management,33,Excellent,4,"$194,146.00 ",Unmarried,Deny
Female,FALSE,3.29,Business,Black,590,3,Real Estate,28,Excellent,5,"$183,427.00 ",married,Deny
Male,FALSE,3.2,STEM,Asian,690,5,Energy,34,Good,1,"$108,149.00 ",Unmarried,Deny
Female,TRUE,3.48,Humanities,International,670,5,Financial Services,31,Good,3,"$132,953.00 ",married,Admit
Female,FALSE,3.14,Business,White,600,3,Nonprofit/Gov,37,Good,3,"$64,473.00 ",married,Admit
Male,TRUE,3.45,Humanities,International,620,5,Consulting,30,Excellent,5,"$134,047.00 ",Unmarried,Deny
Male,FALSE,3.31,STEM,Hispanic,620,3,PE/VC,30,Good,5,"$213,566.00 ",married,Deny
Female,FALSE,3.6,Humanities,Other,670,5,Consulting,36,Excellent,1,"$204,290.00 ",married,Admit
Male,FALSE,3.5,STEM,Hispanic,700,6,Investment Management,34,Good,1,"$102,554.00 ",married,Admit
Male,FALSE,3.61,Business,Hispanic,690,5,Technology,30,Good,4,"$127,165.00 ",married,Deny
Male,FALSE,3.11,STEM,Black,650,5,Financial Services,36,Good,5,"$135,884.00 ",married,Deny
Male,TRUE,3.1,Humanities,International,580,6,Consulting,34,Excellent,3,"$115,697.00 ",married,Deny
Male,TRUE,3.06,STEM,International,620,6,Nonprofit/Gov,29,Excellent,5,"$89,532.00 ",Unmarried,Deny
Male,TRUE,3.18,Business,International,630,3,Nonprofit/Gov,35,Good,1,"$69,897.00 ",Unmarried,Deny
Male,FALSE,3.05,Humanities,White,570,8,Consulting,31,Excellent,5,"$158,144.00 ",Unmarried,Deny
Male,FALSE,3.45,Humanities,Other,700,6,Consulting,31,Excellent,1,"$173,114.00 ",married,Admit
Female,TRUE,3.26,Business,International,630,6,Consulting,36,Excellent,1,"$183,864.00 ",married,Admit
Male,FALSE,3.35,Business,White,660,5,Consulting,34,Good,3,"$78,494.00 ",married,Admit
Female,FALSE,3.23,Business,White,670,5,Nonprofit/Gov,26,Excellent,4,"$53,664.00 ",married,Admit
Male,TRUE,3.11,Business,International,640,4,Nonprofit/Gov,26,Excellent,2,"$69,486.00 ",Unmarried,Deny
Female,FALSE,3.44,Business,White,750,5,Technology,34,Excellent,1,"$146,974.00 ",married,Admit
Female,FALSE,3.14,Humanities,Black,580,5,Technology,26,Good,2,"$136,537.00 ",Unmarried,Deny
Female,FALSE,3.24,Business,White,660,6,Technology,28,Good,1,"$135,484.00 ",Unmarried,Admit
Male,TRUE,3.43,Humanities,International,610,5,Technology,28,Excellent,4,"$134,163.00 ",married,Deny
Male,FALSE,3.27,STEM,Asian,600,5,PE/VC,26,Excellent,5,"$160,501.00 ",Unmarried,Deny
Male,FALSE,3.41,Humanities,Asian,670,5,Consulting,31,Excellent,3,"$170,346.00 ",married,Deny
Female,FALSE,3.02,Humanities,Asian,570,4,Consulting,26,Excellent,4,"$81,530.00 ",married,Admit
Male,FALSE,3.24,STEM,White,670,3,Consulting,32,Good,4,"$183,890.00 ",married,Deny
Male,FALSE,3.23,STEM,Black,630,5,Technology,31,Excellent,5,"$127,444.00 ",married,Deny
Male,FALSE,3.09,Humanities,Asian,690,5,Other,33,Excellent,5,"$44,983.00 ",married,Deny
Male,FALSE,3.64,STEM,Black,680,4,PE/VC,31,Good,4,"$384,971.00 ",married,Deny
Male,FALSE,3.71,STEM,White,720,6,Other,32,Excellent,5,"$46,127.00 ",married,Deny
Female,FALSE,3.19,Business,Asian,630,5,Investment Banking,35,Excellent,3,"$157,953.00 ",Unmarried,Admit
Female,FALSE,3.24,STEM,Asian,670,4,Consulting,30,Good,2,"$197,123.00 ",married,Admit
Male,FALSE,3.01,Humanities,Asian,610,4,PE/VC,32,Excellent,5,"$607,037.00 ",Unmarried,Deny
Male,FALSE,3.4,Business,Asian,630,4,Consulting,36,Excellent,3,"$218,033.00 ",married,Deny
Female,FALSE,3.18,Humanities,Black,650,5,Consulting,31,Excellent,3,"$203,790.00 ",married,Deny
Male,TRUE,3.39,Humanities,International,650,6,Other,32,Good,3,"$80,359.00 ",Unmarried,Deny
Female,FALSE,3.06,STEM,Hispanic,640,6,Nonprofit/Gov,32,Good,3,"$80,309.00 ",Unmarried,Deny
Male,TRUE,3.01,Business,International,610,6,Technology,37,Good,5,"$127,407.00 ",Unmarried,Deny
Male,FALSE,3.34,Business,Asian,590,5,PE/VC,33,Good,4,"$711,203.00 ",married,Deny
Male,TRUE,3.34,STEM,International,680,8,Technology,33,Excellent,3,"$146,467.00 ",Unmarried,Deny
Male,TRUE,3.33,STEM,International,720,5,Nonprofit/Gov,30,Good,3,"$87,039.00 ",married,Admit
Male,FALSE,3.4,STEM,Black,680,4,Other,29,Excellent,4,"$43,527.00 ",married,Deny
Male,FALSE,3.02,STEM,Black,590,5,Consulting,34,Good,3,"$218,879.00 ",Unmarried,Deny
Male,FALSE,3.49,Humanities,White,720,3,Consulting,32,Good,3,"$76,466.00 ",married,Deny
Male,FALSE,3.45,Humanities,White,710,4,PE/VC,28,Excellent,3,"$965,519.00 ",married,Deny
Male,FALSE,3.33,Humanities,White,660,5,Media/Entertainment,36,Good,3,"$51,339.00 ",married,Deny
Female,FALSE,3.27,Humanities,Black,680,5,Health Care,37,Good,5,"$79,121.00 ",married,Deny
Female,FALSE,3.15,Business,White,620,6,Technology,27,Excellent,4,"$126,133.00 ",married,Admit
Female,FALSE,3.11,STEM,Asian,620,4,Financial Services,34,Good,4,"$121,844.00 ",Unmarried,Admit
Male,TRUE,3.15,Humanities,International,590,5,Investment Management,36,Good,1,"$138,714.00 ",Unmarried,Deny
Male,FALSE,3.11,Business,Asian,600,7,PE/VC,32,Excellent,4,"$671,543.00 ",married,Deny
Male,FALSE,3.17,Business,Asian,640,6,Other,27,Regular,4,"$80,496.00 ",Unmarried,Deny
Female,FALSE,3.02,STEM,Asian,570,5,Other,32,Good,5,"$64,595.00 ",married,Admit
Male,TRUE,3.04,STEM,International,630,5,Other,28,Excellent,3,"$76,268.00 ",married,Deny
Male,FALSE,3.22,STEM,White,650,5,PE/VC,32,Excellent,3,"$333,813.00 ",married,Deny
Male,TRUE,3.77,STEM,International,780,5,Consulting,35,Good,2,"$148,966.00 ",Unmarried,Deny
Female,FALSE,3.31,Business,Hispanic,590,5,Nonprofit/Gov,33,Excellent,3,"$59,351.00 ",Unmarried,Deny
Male,FALSE,3.3,Humanities,Asian,660,4,Investment Banking,33,Good,5,"$163,201.00 ",married,Deny
Male,FALSE,3.26,Humanities,White,690,4,Nonprofit/Gov,36,Excellent,2,"$59,789.00 ",married,Deny
Male,FALSE,3.1,Humanities,White,570,5,Financial Services,30,Good,4,"$99,595.00 ",married,Deny
Female,FALSE,3.61,Humanities,Black,740,6,Health Care,36,Good,2,"$95,481.00 ",Unmarried,Admit
Female,FALSE,3.33,Business,Black,620,5,Consulting,37,Good,1,"$114,562.00 ",married,Deny
